week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
2023-12-17,Films (English),1,Leave the World Behind,N/A,106200000,2.3667,44900000,2,false,
2023-12-17,Films (English),2,Chicken Run: Dawn of the Nugget,N/A,20300000,1.7,11900000,1,false,
2023-12-17,Films (English),3,Leo,N/A,16800000,1.7833,9400000,4,false,
2023-12-17,Films (English),4,Family Switch,N/A,16600000,1.7667,9400000,3,false,
2023-12-17,Films (English),5,The Super Mario Bros. Movie,N/A,13700000,1.5333,8900000,3,false,
2023-12-17,Films (English),6,Underwater,N/A,9200000,1.5833,5800000,1,false,
2023-12-17,Films (English),7,Old,N/A,10000000,1.8,5600000,1,false,
2023-12-17,Films (English),8,Christmas as Usual,N/A,7100000,1.4833,4800000,2,false,
2023-12-17,Films (English),9,Dr. Seuss' The Grinch,N/A,5700000,1.4333,4000000,5,false,
2023-12-17,Films (English),10,Holiday in the Vineyards,N/A,6900000,1.7833,3900000,1,false,
2023-12-17,Films (Non-English),1,Blood Vessel,N/A,8800000,1.9833,4400000,2,false,
2023-12-17,Films (Non-English),2,Stolen Vacation,N/A,3200000,1.5333,2100000,2,false,
2023-12-17,Films (Non-English),3,Dhak Dhak,N/A,3700000,2.2833,1600000,1,false,
2023-12-17,Films (Non-English),4,The Archies,N/A,3100000,2.4,1300000,2,false,
2023-12-17,Films (Non-English),5,Don't Buy the Seller,N/A,2100000,1.7,1200000,1,false,
2023-12-17,Films (Non-English),6,Familia,N/A,1800000,1.7667,1000000,1,false,
2023-12-17,Films (Non-English),7,NAGA,N/A,1900000,1.8833,1000000,1,false,
2023-12-17,Films (Non-English),8,Nowhere,N/A,1800000,1.8167,1000000,9,false,
2023-12-17,Films (Non-English),9,Women on the Edge,N/A,1400000,1.5833,900000,3,false,
2023-12-17,Films (Non-English),10,Japan,N/A,2200000,2.5667,900000,1,false,
2023-12-17,TV (English),1,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,97500000,7.6167,12800000,2,false,
2023-12-17,TV (English),2,The Crown,The Crown: Season 6,50900000,8.75,5800000,5,false,
2023-12-17,TV (English),3,Obliterated,Obliterated: Season 1,35600000,6.8333,5200000,3,false,
2023-12-17,TV (English),4,World War II: From the Frontlines,World War II: From the Frontlines: Season 1,21200000,4.85,4400000,2,false,
