	Questions	Queries	Pairs	Masked Questions
0	How many clubs are there?	SELECT count(*) FROM club	"/* Answer the following: How many clubs are there? */
SELECT count(*) FROM club
"	How many <mask> are there?
1	Count the number of clubs.	SELECT count(*) FROM club	"/* Answer the following: Count the number of clubs. */
SELECT count(*) FROM club
"	<mask> the number of <mask>.
2	List the name of clubs in ascending alphabetical order.	SELECT Name FROM club ORDER BY Name ASC	"/* Answer the following: List the name of clubs in ascending alphabetical order. */
SELECT Name FROM club ORDER BY Name ASC
"	List the <mask> of <mask> in ascending alphabetical order.
3	What are the names of clubs, ordered alphabetically?	SELECT Name FROM club ORDER BY Name ASC	"/* Answer the following: What are the names of clubs, ordered alphabetically? */
SELECT Name FROM club ORDER BY Name ASC
"	What are the <mask> of <mask>, ordered alphabetically?
4	What are the managers and captains of clubs?	SELECT Manager ,  Captain FROM club	"/* Answer the following: What are the managers and captains of clubs? */
SELECT Manager ,  Captain FROM club
"	What are the <mask> and <mask> of <mask>?
5	Return the managers and captains of all clubs.	SELECT Manager ,  Captain FROM club	"/* Answer the following: Return the managers and captains of all clubs. */
SELECT Manager ,  Captain FROM club
"	Return the <mask> and <mask> of all <mask>.
6	"List the name of clubs whose manufacturer is not ""Nike"""	"SELECT Name FROM club WHERE Manufacturer != ""Nike"""	"/* Answer the following: List the name of clubs whose manufacturer is not ""Nike"" */
SELECT Name FROM club WHERE Manufacturer != ""Nike""
"	"List the <mask> of <mask> whose <mask> is not ""<mask>"""
7	What are the names of clubs who do not have the manufacturer Nike?	"SELECT Name FROM club WHERE Manufacturer != ""Nike"""	"/* Answer the following: What are the names of clubs who do not have the manufacturer Nike? */
SELECT Name FROM club WHERE Manufacturer != ""Nike""
"	What are the <mask> of <mask> who do not have the <mask> <mask>?
8	What are the names of players in ascending order of wins count?	SELECT Name FROM player ORDER BY Wins_count ASC	"/* Answer the following: What are the names of players in ascending order of wins count? */
SELECT Name FROM player ORDER BY Wins_count ASC
"	What are the <mask> of <mask> in ascending order of wins count?
9	Return the names of players in order of count of wins, ascending.	SELECT Name FROM player ORDER BY Wins_count ASC	"/* Answer the following: Return the names of players in order of count of wins, ascending. */
SELECT Name FROM player ORDER BY Wins_count ASC
"	Return the <mask> of <mask> in order of count of wins, ascending.
10	What is the name of the player with the highest earnings?	SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1	"/* Answer the following: What is the name of the player with the highest earnings? */
SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1
"	What is the <mask> of the <mask> with the highest <mask>?
11	Return the name of the player who earns the most money.	SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1	"/* Answer the following: Return the name of the player who earns the most money. */
SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1
"	Return the <mask> of the <mask> who earns the most money.
12	What are the distinct countries of players with earnings higher than 1200000?	SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000	"/* Answer the following: What are the distinct countries of players with earnings higher than 1200000? */
SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
"	What are the distinct countries of <mask> with <mask> higher than 1200000?
13	From which countries are players who make more than 1200000 from?	SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000	"/* Answer the following: From which countries are players who make more than 1200000 from? */
SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
"	From which countries are <mask> who make more than 1200000 from?
14	What is the country of the player with the highest earnings among players that have more than 2 win counts?	SELECT Country FROM player WHERE Wins_count  >  2 ORDER BY Earnings DESC LIMIT 1	"/* Answer the following: What is the country of the player with the highest earnings among players that have more than 2 win counts? */
SELECT Country FROM player WHERE Wins_count  >  2 ORDER BY Earnings DESC LIMIT 1
"	What is the <mask> of the <mask> with the highest <mask> among <mask> that have more than 2 win counts?
15	Of players who have more than 2 wins, what is the country of the player who makes the most?	SELECT Country FROM player WHERE Wins_count  >  2 ORDER BY Earnings DESC LIMIT 1	"/* Answer the following: Of players who have more than 2 wins, what is the country of the player who makes the most? */
SELECT Country FROM player WHERE Wins_count  >  2 ORDER BY Earnings DESC LIMIT 1
"	Of <mask> who have more than 2 wins, what is the <mask> of the <mask> who makes the most?
24	Show different manufacturers and the number of clubs they are associated with.	SELECT Manufacturer ,  COUNT(*) FROM club GROUP BY Manufacturer	"/* Answer the following: Show different manufacturers and the number of clubs they are associated with. */
SELECT Manufacturer ,  COUNT(*) FROM club GROUP BY Manufacturer
"	Show different <mask> and the number of <mask> they are associated with.
25	How many clubs use each manufacturer?	SELECT Manufacturer ,  COUNT(*) FROM club GROUP BY Manufacturer	"/* Answer the following: How many clubs use each manufacturer? */
SELECT Manufacturer ,  COUNT(*) FROM club GROUP BY Manufacturer
"	How many <mask> use each <mask>?
26	Please show the most common manufacturer of clubs.	SELECT Manufacturer FROM club GROUP BY Manufacturer ORDER BY COUNT(*) DESC LIMIT 1	"/* Answer the following: Please show the most common manufacturer of clubs. */
SELECT Manufacturer FROM club GROUP BY Manufacturer ORDER BY COUNT(*) DESC LIMIT 1
"	Please show the most common <mask> of <mask>.
27	Which manufacturer is most common among clubs?	SELECT Manufacturer FROM club GROUP BY Manufacturer ORDER BY COUNT(*) DESC LIMIT 1	"/* Answer the following: Which manufacturer is most common among clubs? */
SELECT Manufacturer FROM club GROUP BY Manufacturer ORDER BY COUNT(*) DESC LIMIT 1
"	Which <mask> is most common among <mask>?
28	List the manufacturers that are associated with more than one club.	SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1	"/* Answer the following: List the manufacturers that are associated with more than one club. */
SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
"	List the <mask> that are associated with more than one <mask>.
29	Which manufacturers work for more than 1 club?	SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1	"/* Answer the following: Which manufacturers work for more than 1 club? */
SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
"	Which <mask> work for more than 1 <mask>?
30	List the country that have more than one player.	SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1	"/* Answer the following: List the country that have more than one player. */
SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
"	List the <mask> that have more than one <mask>.
31	Which countries have produced more than one player?	SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1	"/* Answer the following: Which countries have produced more than one player? */
SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
"	Which countries have produced more than one <mask>?
32	List the name of clubs that do not have players.	SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player)	"/* Answer the following: List the name of clubs that do not have players. */
SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player)
"	List the <mask> of <mask> that do not have <mask>.
33	What are the names of clubs that do not have any players?	SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player)	"/* Answer the following: What are the names of clubs that do not have any players? */
SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player)
"	What are the <mask> of <mask> that do not have any <mask>?
34	Show the country of players with earnings more than 1400000 and players with earnings less than 1100000.	SELECT Country FROM player WHERE Earnings  >  1400000 INTERSECT SELECT Country FROM player WHERE Earnings  <  1100000	"/* Answer the following: Show the country of players with earnings more than 1400000 and players with earnings less than 1100000. */
SELECT Country FROM player WHERE Earnings  >  1400000 INTERSECT SELECT Country FROM player WHERE Earnings  <  1100000
"	Show the <mask> of <mask> with <mask> more than 1400000 and <mask> with <mask> less than 1100000.
35	Which country has produced both players with earnings over 1400000 and players with earnings below 1100000?	SELECT Country FROM player WHERE Earnings  >  1400000 INTERSECT SELECT Country FROM player WHERE Earnings  <  1100000	"/* Answer the following: Which country has produced both players with earnings over 1400000 and players with earnings below 1100000? */
SELECT Country FROM player WHERE Earnings  >  1400000 INTERSECT SELECT Country FROM player WHERE Earnings  <  1100000
"	Which <mask> has produced both <mask> with <mask> over 1400000 and <mask> with <mask> below 1100000?
36	What is the number of distinct countries of all players?	SELECT COUNT (DISTINCT Country) FROM player	"/* Answer the following: What is the number of distinct countries of all players? */
SELECT COUNT (DISTINCT Country) FROM player
"	What is the number of distinct countries of all <mask>?
